name,Key_Name,Key_ChatBalloon,Source,Tag
/maps/Town/NPCs/NPC_펫상인,npcName_PetShop,npcChat_PetShop,Town1,npcTag_PetShop
/maps/Town/npc-1768,npcName_Town1_Hena,npcChat_Town1_Hena,Town1,
/maps/Town/NPCs/npc-3858,npcName_Town1_EquipShop,npcChat_Town1_EquipShop,Town1,npcTag_EquipShop
/maps/Town/NPCs/NPC_광물상인,npcName_Town1_MiningShop,npcChat_Town1_MiningShop,Town1,npcTag_MiningShop
/maps/Town/NPCs/Model_NPC_Teacher,npcName_Town1_HoonSoo,npcChat_Town1_HoonSoo,Town1,
/maps/Town2/NPCs/Model_NPC_EquipShop,npcName_Town2_EquipShop,npcChat_Town2_EquipShop,Town2,npcTag_EquipShop
/maps/Town2/NPCs/NPC_상인,npcName_Town2_MiningShop,npcChat_Town2_MiningShop,Town2,npcTag_MiningShop
/maps/Town2/NPCs/NPC_이동주문서상인,npcName_Teleport,npcChat_Town2_Teleport,Town2,npcTag_Teleport
/maps/Town2/NPCs/npc-4475,npcName_Town2_Lala,npcChat_Town2_Lala,Town2,
/maps/Town2/NPCs/npc-3183,npcName_Town2_Lulu,npcChat_Town2_Lulu,Town2,
/maps/Town2/NPCs/npc-1776,npcName_Town2_Pipi,npcChat_Town2_Pipi,Town2,
/maps/Town2/NPCs/npc-4371,npcName_Town2_Oldman,npcChat_Town2_Oldman,Town2,
/maps/Town3/NPCs/NPC_광물상인,npcName_Town3_MiningShop,npcChat_Town3_MiningShop,Town3,npcTag_MiningShop
/maps/Town3/NPCs/NPC_이동주문서상인,npcName_Teleport,npcChat_Town3_Teleport,Town3,npcTag_Teleport
/maps/Town3/NPCs/NPC_장비상인,npcName_Town3_EquipShop,npcChat_Town3_EquipShop,Town3,npcTag_EquipShop
/maps/Town4/NPCs/NPC_광물상인,npcName_Town4_MiningShop,npcChat_Town4_MiningShop,Town4,npcTag_MiningShop
/maps/Town4/NPCs/NPC_이동주문서상인,npcName_Teleport,npcChat_Town4_Teleport,Town4,npcTag_Teleport
/maps/Town4/NPCs/NPC_장비상인,npcName_Town4_EquipShop,npcChat_Town4_EquipShop,Town4,npcTag_EquipShop
/maps/Town4/NPCs/npc-4277,npcName_OldMachine,npcChat_Town4_OldMachine_1,Town4,
/maps/Town4/NPCs/npc-4280,npcName_OldMachine,none,Town4,
/maps/Town4/NPCs/npc-4287,npcName_OldMachine,none,Town4,
/maps/Town4/NPCs/npc-5705,npcName_OldMachine,none,Town4,
/maps/Town5/NPCs/NPC_감정표현상인,npcName_EmotionShop,npcChat_EmotionShop,Town5,npcTag_EmotionShop
/maps/Town5/NPCs/NPC_광물상인,npcName_Town5_MiningShop,npcChat_Town5_MiningShop,Town5,npcTag_MiningShop
/maps/Town5/NPCs/NPC_이동주문서상인,npcName_Teleport,npcChat_Town5_Teleport,Town5,npcTag_Teleport
/maps/Town5/NPCs/NPC_장비상인,npcName_Town5_EquipShop,npcChat_Town5_EquipShop,Town5,npcTag_EquipShop
/maps/Town6/MapObjects/object-1,none,npcChat_Town6_Alien,Town6,
/maps/Town6/NPCs/NPC_상인,npcName_Town6_MiningShop,npcChat_Town6_MiningShop,Town6,npcTag_MiningShop
/maps/Town6/NPCs/NPC_이동주문서상인,npcName_Teleport,npcChat_Town6_Teleport,Town6,npcTag_Teleport
/maps/Town6/NPCs/NPC_장비 자판기,npcName_Town6_EquipShop,npcChat_Town6_EquipShop,Town6,npcTag_EquipShop
/maps/Town7/NPCs/NPC_광물상인,npcName_Town7_MiningShop,npcChat_Town7_MiningShop,Town7,npcTag_MiningShop
/maps/Town7/NPCs/NPC_이동주문서상인,npcName_Teleport,npcChat_Town7_Teleport,Town7,npcTag_Teleport
/maps/Town7/NPCs/NPC_장비상인,npcName_Town7_EquipShop,npcChat_Town7_EquipShop,Town7,npcTag_EquipShop
/maps/Town8/npc-1059,npcName_Town8_Chad,npcChat_Town8_Chad,Town8,
/maps/Town8/npc-1824,npcName_Town8_Umpa,npcChat_Town8_Umpa,Town8,
/maps/Town8/npc-4724,npcName_Town8_Litura,npcChat_Town8_Litura,Town8,
/maps/Town8/NPCs/NPC_광물상인,npcName_Town8_MiningShop,npcChat_Town8_MiningShop,Town8,npcTag_MiningShop
/maps/Town8/NPCs/NPC_이동주문서상인,npcName_Teleport,npcChat_Town8_Teleport,Town8,npcTag_Teleport
/maps/Town8/NPCs/NPC_장비상인,npcName_Town8_EquipShop,npcChat_Town8_EquipShop,Town8,npcTag_EquipShop
/maps/Town9/NPCs/NPC_상인(NEW),npcName_Town9_MiningShop,npcChat_Town9_MiningShop,Town9,npcTag_MiningShop
/maps/Town9/NPCs/NPC_유물상자상인,npcName_Town9_RelicBoxShop,npcChat_Town9_RelicBoxShop,Town9,npcTag_RelixBoxShop
