item1,item1 (note),item1_num,item2,item2 (note),item2_num,item3,item3 (note),item3_num,item4,item4 (note),item4_num
,,,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
E_Summon,최대 소환량 업,1,,,,,,,,,
