EarningLevel,ManagementLevel,BestRecipeEarnings,AccumEarnings,ServingEmployeeWarningLevel,BurgerOrderCountMin,BurgerOrderCountMax,ExpectedRecipeAttractive,StoreAttractiveLevel
1,0,1000,10000,12,4,4,0,1001
2,0,2000,30000,12,4,4,5,1001
3,0,5000,50000,13,4,4,7.5,1004
4,0,10000,100000,14,4,4,10.625,1005
5,0,30000,200000,15,4,4,15,1101
6,0,40000,400000,15,4,4,15,1101
7,1,50000,600000,16,4,4,15,1101
8,1,100000,800000,17,4,5,17.5,1102
9,1,200000,1000000,18,5,5,17.5,1102
10,1,300000,2000000,18,5,5,17.5,1103
11,1,400000,3000000,18,5,6,17.5,1104
12,1,500000,4000000,19,6,6,20,1104
13,2,600000,5000000,20,6,6,20,1106
14,2,700000,6000000,21,6,6,20,1106
15,2,800000,7000000,21,6,6,22.5,1203
16,2,1000000,8000000,24,6,7,22.5,1203
17,2,1200000,9000000,24,7,7,25,1206
18,2,1500000,10000000,25,7,7,25,1206
19,3,1800000,20000000,26,7,7,25,1207
20,3,2500000,30000000,26,7,7,27.5,1209
21,3,3000000,40000000,27,7,8,27.5,1209
22,3,4000000,50000000,27,7,8,27.5,1210
23,3,4800000,60000000,28,8,8,30,1301
24,3,5000000,70000000,29,8,8,32.5,1301
25,4,5600000,80000000,29,8,8,32.5,1301
26,4,6400000,90000000,29,8,8,35,1305
27,4,7100000,100000000,30,8,9,35,1305
28,4,7800000,150000000,28,9,9,32.5,1307
29,4,8000000,200000000,29,9,9,32.5,1307
30,4,9000000,250000000,30,9,9,35,1308
31,5,9700000,300000000,31,9,10,35,1310
32,5,10500000,350000000,32,10,10,35,1310
33,5,11400000,400000000,32,10,11,35,1310
34,5,15500000,450000000,32,11,11,37.5,1312
35,5,16700000,500000000,33,11,12,37.5,1312
36,5,17800000,550000000,33,12,12,37.5,1401
37,5,19000000,600000000,33,12,13,37.5,1401
38,5,20900000,650000000,33,12,13,40,1402
39,5,22300000,700000000,33,13,13,40,1402
40,5,22800000,750000000,34,13,13,40,1407
41,5,24000000,800000000,35,13,14,40,1407
42,5,25700000,850000000,35,14,14,40,1407
43,5,28000000,900000000,36,14,14,40,1407
44,5,28600000,950000000,37,14,14,40,1407
45,5,30000000,1000000000,38,15,15,40,1407
46,5,31000000,1050000000,39,15,15,42.5,1407
47,5,33000000,1100000000,39,15,15,42.5,1411
48,5,34400000,1150000000,39,15,15,42.5,1501
49,5,35000000,1200000000,39,15,15,42.5,1501
50,5,35700000,1250000000,39,15,15,42.5,1501
51,5,36300000,1300000000,39,15,15,42.5,1501
52,5,36900000,1350000000,39,15,15,42.5,1501
53,5,37500000,1400000000,39,15,15,42.5,1501
54,5,38100000,1450000000,39,15,15,42.5,1501
55,5,38700000,1500000000,39,15,15,42.5,1501
56,5,39300000,1550000000,39,15,15,42.5,1501
57,5,39900000,1600000000,39,15,15,42.5,1502
58,5,40500000,1650000000,39,15,15,42.5,1502
59,5,41100000,1700000000,39,15,15,42.5,1502
60,5,41700000,1750000000,39,15,15,42.5,1502
61,5,42200000,1800000000,39,15,15,42.5,1502
62,5,42800000,1850000000,39,15,15,42.5,1503
63,5,43400000,1900000000,39,15,15,42.5,1503
64,5,44000000,1950000000,39,15,15,42.5,1503
65,5,44600000,2000000000,39,15,15,42.5,1503
66,5,45200000,2050000000,39,15,15,42.5,1503
67,5,45800000,2100000000,39,15,15,42.5,1503
68,5,46400000,2150000000,39,15,15,42.5,1503
69,5,47000000,2200000000,39,15,15,42.5,1503
70,5,47600000,2250000000,39,15,15,42.5,1503
71,5,48200000,2300000000,39,15,15,42.5,1503
72,5,48800000,2350000000,39,15,15,42.5,1503
73,5,49400000,2400000000,39,15,15,42.5,1503
74,5,50000000,2450000000,39,15,15,42.5,1503
75,5,50600000,2500000000,39,15,15,42.5,1503
76,5,51200000,2550000000,39,15,15,42.5,1503
77,5,51800000,2600000000,39,15,15,42.5,1503
78,5,52400000,2650000000,39,15,15,42.5,1503
79,5,53000000,2700000000,39,15,15,42.5,1503
80,5,53600000,2750000000,39,15,15,42.5,1503
81,5,54200000,2800000000,39,15,15,42.5,1503
82,5,54800000,2850000000,39,15,15,42.5,1503
