EarningLevel,ManagementLevel,BestRecipeEarnings,AccumEarnings,ServingEmployeeWarningLevel,BurgerOrderCountMin,BurgerOrderCountMax,ExpectedRecipeAttractive,StoreAttractiveLevel
1,0,3000,10000,15,4,4,10,1001
2,0,10000,50000,18,4,5,10,1001
3,0,50000,100000,18,5,5,12.5,1004
4,0,100000,300000,18,5,6,15,1005
5,0,200000,500000,18,6,6,18,1101
6,0,300000,1000000,18,6,6,21,1101
7,1,500000,1500000,18,6,7,21,1101
8,1,700000,3000000,18,7,7,21,1102
9,1,1000000,4000000,18,7,8,21,1103
10,1,1500000,5000000,18,8,8,24,1104
11,1,1800000,7500000,19,8,8,24,1104
12,1,2000000,10000000,20,8,8,24,1106
13,2,2200000,15000000,21,8,9,24,1106
14,2,2500000,20000000,22,9,9,24,1203
15,2,3500000,25000000,23,9,9,27,1203
16,2,4500000,30000000,24,9,10,27,1207
17,2,5000000,40000000,25,10,10,27,1209
18,2,6000000,50000000,26,10,10,27.5,1208
19,3,7000000,60000000,27,10,11,27.5,1303
20,3,8000000,80000000,28,10,11,27.5,1303
21,3,10000000,100000000,29,11,11,27.5,1303
22,3,13000000,130000000,28,11,11,32.5,1305
23,3,14000000,150000000,29,11,11,35.75,1308
24,3,16000000,180000000,32,11,12,35.75,1309
25,4,17000000,210000000,30,11,12,35.75,1310
26,4,18000000,240000000,30,11,12,35.75,1310
27,4,19000000,270000000,31,12,12,35.75,1310
28,4,20000000,300000000,30,12,12,39,1310
29,4,21000000,350000000,31,12,12,39,1310
30,4,22000000,400000000,32,12,12,39,1310
31,5,23000000,450000000,34,12,13,39,1401
32,5,24000000,500000000,35,13,13,39,1401
33,5,25000000,550000000,36,13,13,39,1401
34,5,27000000,600000000,39,13,14,39,1407
35,5,29000000,650000000,37,13,14,39,1407
36,5,31000000,700000000,37,14,14,39,1407
37,5,32000000,750000000,37,14,14,39,1407
38,5,33000000,800000000,39,14,15,39,1407
39,5,37000000,900000000,39,14,15,42,1408
40,5,39000000,1000000000,39,15,15,42,1408
41,5,40000000,1100000000,40,15,15,42,1408
42,5,42000000,1200000000,41,15,15,42,1408
43,5,43000000,1300000000,42,15,16,42,1408
44,5,45000000,1400000000,42,15,16,42,1408
45,5,50000000,1600000000,42,16,16,42,1408
46,5,55000000,1700000000,43,16,16,42,1411
47,5,59000000,1800000000,44,16,17,42,1412
48,5,66000000,2000000000,45,17,17,48,1502
49,5,67000000,2200000000,45,17,17,48,1503
50,5,69000000,2300000000,46,17,18,48,1505
51,5,71000000,2500000000,47,17,18,48,1505
52,5,75000000,2700000000,48,18,18,48,1505
53,5,80000000,2900000000,48,18,19,48,1507
54,5,90000000,3200000000,49,18,19,48,1507
55,5,92000000,3400000000,50,19,19,48,1507
56,5,94000000,3600000000,51,19,19,48,1508
57,5,96000000,3900000000,52,19,20,48,1508
58,5,98000000,4200000000,55,19,20,48,1511
59,5,100000000,4500000000,54,20,20,48,1511
60,5,105000000,4800000000,54,20,20,48,1511
61,5,110000000,5100000000,54,20,20,51,1515
62,5,117000000,5400000000,54,20,20,51,1515
63,5,121000000,5800000000,54,20,20,51,1515
64,5,124000000,6100000000,54,20,20,51,1515
65,5,128000000,6400000000,54,20,20,51,1515
66,5,132000000,6800000000,54,20,20,51,1515
67,5,136000000,7100000000,54,20,20,51,1515
68,5,139000000,7500000000,54,20,20,51,1515
69,5,143000000,7800000000,54,20,20,51,1515
70,5,147000000,8200000000,54,20,20,51,1515
71,5,151000000,8500000000,54,20,20,51,1515
72,5,155000000,8900000000,54,20,20,51,1515
73,5,161000000,9300000000,54,20,20,51,1516
74,5,163000000,9700000000,54,20,20,51,1516
75,5,165000000,10000000000,54,20,20,51,1516
76,5,167000000,10400000000,54,20,20,51,1516
77,5,169000000,10800000000,54,20,20,51,1516
78,5,171000000,11000000000,54,20,20,51,1516
79,5,173000000,11500000000,54,20,20,51,1516
80,5,175000000,12000000000,54,20,20,51,1516
81,5,177000000,12500000000,54,20,20,51,1516
82,5,179000000,13000000000,54,20,20,51,1516
