id,1,2,3,4,5
111001,0.05,0.1,0.15,0.2,0.25
111002,0.05,0.1,0.15,0.2,0.25
111003,0.05,0.1,0.15,0.2,0.25
111004,0.05,0.1,0.15,0.2,0.25
121001,0.05,0.1,0.15,0.2,0.25
121002,0.05,0.1,0.15,0.2,0.25
121003,0.05,0.1,0.15,0.2,0.25
121004,0.05,0.1,0.15,0.2,0.25
131001,0.05,0.1,0.15,0.2,0.25
131002,0.05,0.1,0.15,0.2,0.25
131003,0.05,0.1,0.15,0.2,0.25
131004,0.05,0.1,0.15,0.2,0.25
141001,0.05,0.1,0.15,0.2,0.25
141002,0.05,0.1,0.15,0.2,0.25
141003,0.05,0.1,0.15,0.2,0.25
141004,0.05,0.1,0.15,0.2,0.25
151001,0.05,0.1,0.15,0.2,0.25
151002,0.05,0.1,0.15,0.2,0.25
151003,0.05,0.1,0.15,0.2,0.25
151004,0.05,0.1,0.15,0.2,0.25
