Id,Level,Type,ContentsTextKey,ImageRUID,Contents,FormatText0Value,FormatText1Value,FormatText2Value,FormatText3Value,FormatText4Value,FormatText5Value
10001,,TextOnly,UpgradeHelpText10001,,,,,,,,
10002,,TextOnly,UpgradeHelpText10002,,,,,,,,
10003,,TextOnly,UpgradeHelpText10003,,,,,,,,
10004,,TextOnly,UpgradeHelpText10004,,,,,,,,
10005,,TextOnly,UpgradeHelpText10005,,,level,nextLevel,,,,
10006,,TextOnly,UpgradeHelpText10006,,,levelValueDisplay,nextLevelValueDisplay,,,,
10007,,TextOnly,UpgradeHelpText10007,,,level,nextLevel,,,,
20001,1,TextOnly,UpgradeHelpText2000101,,,nextLevelValue,3,,,,
20001,2,TextOnly,UpgradeHelpText2000101,,,nextLevelValue,5,,,,
20001,3,TextOnly,UpgradeHelpText2000101,,,nextLevelValue,10,,,,
20001,4,TextOnly,UpgradeHelpText2000101,,,nextLevelValue,15,,,,
20001,5,TextOnly,UpgradeHelpText2000106,,,nextLevelValue,6,,,,
20002,1,ImageOnly,UpgradeHelpText20002,7990904b03144c209efd09269c4796a0,,,,,,,
20002,2,ImageOnly,UpgradeHelpText20002,70e39ebdfa944266911da9a7ba02c4af,,,,,,,
20002,3,ImageOnly,UpgradeHelpText20002,117df003686d4a6a913c462f23b1a514,,,,,,,
20002,4,ImageOnly,UpgradeHelpText20002,6971e6f554bd44a08e712759cf99d37d,,,,,,,
20002,5,ImageOnly,UpgradeHelpText20002,a0ad3f12e81840fd95198444effc1a84,,,,,,,
20002,6,ImageOnly,UpgradeHelpText20002,30ac74b030344543809e95bb445fd3e8,,,,,,,
20003,1,TextOnly,UpgradeHelpText2000301,,,nextLevelValue,,,,,
20003,2,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,3,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,4,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,5,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,6,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,7,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,8,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,9,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,10,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,11,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,12,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,13,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,14,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,15,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,16,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,17,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,18,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,19,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,20,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,21,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,22,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,23,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
20003,24,TextOnly,UpgradeHelpText2000302,,,levelValue,nextLevelValue,,,,
