PresetID,SetSeason,UnitCount,CharID_1,CharID_2,CharID_3,CharID_4,CharID_5,CharID_6,CharID_7,CharID_8,CharID_9,CharID_10,CharID_11,CharID_12,NeedSynergy,UseRuneType,Explain
EP015030001,1,3,C10001,C10002,C20002,,,,,,,,,,-,Battle/Synergy_S10001_Normal,3 마스코트
EP015030002,1,3,C10005,C20003,C20004,,,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"3 수호대, 1 전직교관"
EP015030003,1,3,C10003,C10006,C20004,,,,,,,,,,-,Battle/Synergy_S10003_Normal/Synergy_S10024_Normal,"2 선봉장, 1 전직교관"
EP015030004,1,3,C10007,C20005,C20006,,,,,,,,,,-,Battle/Synergy_S10004_Normal,3 마법사
EP015030005,1,3,C10009,C10010,C20004,,,,,,,,,,-,Battle/Synergy_S10006_Normal/Synergy_S10024_Normal,"2 사냥꾼, 1 전직교관"
EP015030006,1,3,C10011,C20002,C20008,,,,,,,,,,-,Battle/Synergy_S10008_Normal/Synergy_S10016_Normal,"2 추격자, 2 엘나스"
EP015030007,1,3,C20001,C20009,C20010,,,,,,,,,,-,Battle/Synergy_S10009_Normal,3 싸움꾼
EP015030008,1,3,C10012,C20004,C20011,,,,,,,,,,-,Battle/Synergy_S10010_Normal,"2 저격수, 1 전직교관"
EP015030009,1,3,C10013,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10011_Normal,"3 방해꾼, 2 아케인리버"
EP015030010,1,3,C10008,C20003,C20005,,,,,,,,,,-,Battle/Synergy_S10015_Normal,"3 시간의 신전, 1 책사"
EP015030011,1,3,C10011,C20002,C20009,,,,,,,,,,S10016_Rune,Battle/Synergy_S10016_Normal,4 엘나스
EP015030012,1,3,C10002,C10005,C10013,,,,,,,,,,-,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
EP015030013,1,3,C20001,C20009,C20010,,,,,,,,,,S10018_Item,Battle/Synergy_S10018_Normal/Synergy_S10009_Normal,"3 싸움꾼, 2 슬리피우드"
EP015030014,1,3,C10007,C20005,C20006,,,,,,,,,,S10019_All,Battle/Synergy_S10019_Normal/Synergy_S10004_Normal,"3 마법사, 2 루디브리엄"
EP015030015,1,3,C10004,C20012,C20013,,,,,,,,,,S10020_Rune,Battle/Synergy_S10020_Normal,4 아케인리버
EP015030016,1,3,C10006,C10012,C20008,,,,,,,,,,-,Battle/Synergy_S10021_Normal,3 오르비스
EP015030017,1,3,C20004,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10022_Normal/Synergy_S10020_Normal,"2 아케인리버, 1 전직교관"
EP015030018,1,3,C10009,C10010,C20011,,,,,,,,,,S10023_All,Battle/Synergy_S10023_Normal/Synergy_S10006_Normal,"3 모험가, 2 사냥꾼"
EP015030019,1,3,C20001,C20004,C20007,,,,,,,,,,-,Battle/Synergy_S10025_Normal/Synergy_S10024_Normal,"2 기사단장, 1 전직교관"
EP015030020,1.1,3,C10014,C10015,C20014,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP015030021,1.1,3,C10014,C10015,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP015030022,1.1,3,C10014,C20014,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP015030023,1.1,3,C10015,C20014,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP015030024,1.2,3,C10016,C20016,C20017,,,,,,,,,,-,Battle/Synergy_S10032_Normal,"3 마가티아, 1 책사"
EP015030025,1.3,3,C10017,C10018,C20018,,,,,,,,,,-,Battle/Synergy_S10033_Normal,3 미우미우
EP015030026,1.4,3,C10009,C10019,C20019,,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10022_Normal,"2 처형자, 2 시그너스"
EP015030027,1.4,3,C10019,C20004,C20019,,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10024_Normal,"2 처형자, 1 전직교관"
EP015030028,1.5,3,C10020,C20020,C20021,,,,,,,,,,S10035_Rune,Battle/Synergy_S10035_Normal,4 결투가
EP015030029,1.5,3,C20006,C20020,C20021,,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10019_Normal,"2 결투가, 2 루디브리엄"
EP015030030,1.5,3,C10009,C10020,C20021,,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10022_Normal,"2 결투가, 2 시그너스"
EP015030031,1.5,3,C20004,C20020,C20021,,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10024_Normal,"2 결투가, 1 전직교관"
EP015040001,1,4,C10001,C10002,C20002,C30001,,,,,,,,,S10001_Rune,Battle/Synergy_S10001_Normal/Synergy_S10016_Normal,"5 마스코트, 2 엘나스, 2 예티와 페페"
EP015040002,1,4,C20003,C20004,C30002,C30003,,,,,,,,,S10002_Rune,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"5 수호대, 1 전직교관"
EP015040003,1,4,C10003,C10006,C30004,C30005,,,,,,,,,-,Battle/Synergy_S10003_Normal,4 선봉장
EP015040004,1,4,C20005,C20006,C30006,C30007,,,,,,,,,S10004_Rune,Battle/Synergy_S10004_Normal,5 마법사
EP015040005,1,4,C10010,C20002,C30001,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal/Synergy_S10016_Normal,"2 사냥꾼, 2 엘나스, 2 예티와 페페"
EP015040006,1,4,C20007,C30005,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10022_Normal/Synergy_S10024_Normal,"3 그림자, 2 시그너스, 1 전직교관"
EP015040007,1,4,C10011,C20002,C20008,C30001,,,,,,,,,-,Battle/Synergy_S10008_Normal/Synergy_S10016_Normal,"2 추격자, 2 엘나스, 2 예티와 페페"
EP015040008,1,4,C20001,C20009,C20010,C30011,,,,,,,,,S10009_Rune,Battle/Synergy_S10009_Normal,5 싸움꾼
EP015040009,1,4,C10012,C20011,C30009,C30013,,,,,,,,,S10010_All,Battle/Synergy_S10010_Normal/Synergy_S10024_Normal,"4 저격수, 1 전직교관"
EP015040010,1,4,C10013,C20012,C20013,C30012,,,,,,,,,S10011_Rune,Battle/Synergy_S10011_Normal/Synergy_S10020_Normal,"5 방해꾼, 2 아케인리버"
EP015040011,1,4,C10008,C20003,C20005,C30002,,,,,,,,,S10015_Rune,Battle/Synergy_S10015_Normal,"5 시간의 신전, 1 책사"
EP015040012,1,4,C20002,C20009,C30001,C30008,,,,,,,,,-,Battle/Synergy_S10016_Normal,"4 엘나스, 2 예티와 페페"
EP015040013,1,4,C10002,C10013,C30011,C30012,,,,,,,,,S10017_Rune,Battle/Synergy_S10017_Normal,5 빅토리아 아일랜드
EP015040014,1,4,C20010,C30004,C30005,C30009,,,,,,,,,-,Battle/Synergy_S10018_Normal/Synergy_S10003_Normal/Synergy_S10022_Normal,"2 슬리피우드, 2 선봉장, 2 시그너스"
EP015040015,1,4,C20007,C30003,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10019_Normal/Synergy_S10024_Normal,"3 그림자, 2 루디브리엄, 1 전직교관"
EP015040016,1,4,C10004,C20012,C20013,C30012,,,,,,,,,S10020_Rune,Battle/Synergy_S10020_Normal/Synergy_S10011_Normal,"4 아케인리버, 3 방해꾼"
EP015040017,1,4,C10006,C10007,C10012,C20008,,,,,,,,,S10021_Rune,Battle/Synergy_S10021_Normal,5 오르비스
EP015040018,1,4,C10009,C30005,C30006,C30009,,,,,,,,,S10022_Rune,Battle/Synergy_S10022_Normal,5 시그너스
EP015040019,1,4,C10010,C20011,C30007,C30013,,,,,,,,,-,Battle/Synergy_S10023_Normal/Synergy_S10010_Normal/Synergy_S10024_Normal,"3 모험가, 2 저격수, 1 전직교관"
EP015040020,1,4,C20001,C20007,C20010,C30011,,,,,,,,,-,Battle/Synergy_S10025_Normal/Synergy_S10010_Normal,"3 싸움꾼, 2 기사단장"
EP015040021,1.1,4,C10014,C10015,C20014,C20015,,,,,,,,,S10031_Rune,Battle/Synergy_S10031_Normal,5 아랫마을
EP015040022,1.1,4,C10014,C10015,C20014,C30014,,,,,,,,,S10031_Rune,Battle/Synergy_S10031_Normal,5 아랫마을
EP015040023,1.1,4,C10014,C10015,C20015,C30014,,,,,,,,,S10031_Rune,Battle/Synergy_S10031_Normal,5 아랫마을
EP015040024,1.1,4,C10014,C20014,C20015,C30014,,,,,,,,,S10031_Rune,Battle/Synergy_S10031_Normal,5 아랫마을
EP015040025,1.1,4,C10015,C20014,C20015,C30014,,,,,,,,,S10031_Rune,Battle/Synergy_S10031_Normal,5 아랫마을
EP015040026,1.2,4,C10016,C20016,C20017,C30015,,,,,,,,,S10032_Rune,Battle/Synergy_S10032_Normal,"5 마가티아, 1 책사"
EP015040027,1.2,4,C20008,C20016,C20017,C30015,,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10008_Normal/Synergy_S10005_Normal,"3 마가티아, 2 추격자, 1 책사"
EP015040028,1.2,4,C20016,C20017,C30008,C30015,,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10006_Normal/Synergy_S10005_Normal,"3 마가티아, 2 사냥꾼, 1 책사"
EP015040029,1.2,4,C20016,C20017,C30010,C30015,,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10024_Normal/Synergy_S10005_Normal,"3 마가티아, 1 전직교관, 1 책사"
EP015040030,1.2,4,C20016,C20017,C30013,C30015,,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10024_Normal/Synergy_S10005_Normal,"3 마가티아, 1 전직교관, 1 책사"
EP015040031,1.3,4,C10017,C10018,C20018,C30016,,,,,,,,,S10033_Rune,Battle/Synergy_S10033_Normal,5 미우미우
EP015040032,1.3,4,C10018,C20008,C20018,C30016,,,,,,,,,-,Battle/Synergy_S10033_Normal/Synergy_S10008_Normal,"3 미우미우, 2 추격자"
EP015040033,1.3,4,C10018,C20018,C30013,C30016,,,,,,,,,-,Battle/Synergy_S10033_Normal/Synergy_S10024_Normal,"3 미우미우, 1 전직교관"
EP015040034,1.3,4,C10017,C20018,C30010,C30016,,,,,,,,,-,Battle/Synergy_S10033_Normal/Synergy_S10024_Normal,"3 미우미우, 1 전직교관"
EP015040035,1.3,4,C10017,C20004,C20018,C30016,,,,,,,,,-,Battle/Synergy_S10033_Normal/Synergy_S10024_Normal,"3 미우미우, 1 전직교관"
EP015040036,1.4,4,C10019,C20019,C30017,C30018,,,,,,,,,-,Battle/Synergy_S10034_Normal,4 처형자
EP015040037,1.4,4,C10009,C10019,C30008,C30018,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10016_Normal/Synergy_S10006_Normal/Synergy_S10022_Normal,"2 처형자, 2 엘나스, 2 사냥꾼, 2 시그너스"
EP015040038,1.4,4,C10019,C30004,C30005,C30017,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10018_Normal/Synergy_S10003_Normal/Synergy_S10022_Normal,"2 처형자, 2 슬리피우드, 2 선봉장, 2 시그너스"
EP015040039,1.4,4,C20019,C30011,C30012,C30018,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10017_Normal,"2 처형자, 3 빅토리아 아일랜드"
EP015040040,1.4,4,C10019,C30009,C30010,C30017,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10022_Normal/Synergy_S10024_Normal,"2 처형자, 2 시그너스, 1 전직교관"
EP015040041,1.5,4,C10020,C20020,C20021,C30019,,,,,,,,,-,Battle/Synergy_S10035_Normal,4 결투가
EP015040042,1.5,4,C10009,C10020,C30008,C30019,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10016_Normal/Synergy_S10006_Normal/Synergy_S10022_Normal,"2 결투가, 2 엘나스, 2 사냥꾼, 2 시그너스"
EP015040043,1.5,4,C20021,C30003,C30010,C30019,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10019_Normal/Synergy_S10024_Normal,"2 결투가, 2 루디브리엄, 1 전직교관"
EP015040044,1.5,4,C20020,C30011,C30012,C30019,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10017_Normal,"2 결투가, 3 빅토리아 아일랜드"
EP015040045,1.5,4,C10020,C30005,C30010,C30019,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10022_Normal/Synergy_S10024_Normal,"2 결투가, 2 시그너스, 1 전직교관"
EP015040046,1.6,4,C10021,C20022,C30020,C30021,,,,,,,,,S10036_Rune,Battle/Synergy_S10036_Normal,5 판타스틱 테마파크
EP015040047,1.6,4,C20022,C30004,C30020,C30021,,,,,,,,,-,Battle/Synergy_S10036_Normal/Synergy_S10003_Normal,"3 판타스틱 테마파크, 2 선봉장"
EP015040048,1.6,4,C20022,C30013,C30020,C30021,,,,,,,,,-,Battle/Synergy_S10036_Normal/Synergy_S10010_Normal/Synergy_S10024_Normal,"3 판타스틱 테마파크, 2 저격수, 1 전직교관"
EP015040049,1.6,4,C10021,C20008,C30020,C30021,,,,,,,,,-,Battle/Synergy_S10036_Normal/Synergy_S10008_Normal,"3 판타스틱 테마파크, 2 추격자"
EP015040050,1.6,4,C20022,C30010,C30020,C30021,,,,,,,,,-,Battle/Synergy_S10036_Normal/Synergy_S10024_Normal,"3 판타스틱 테마파크, 1 전직교관"
EP015050001,1,5,C10001,C10002,C10004,C20002,C30001,,,,,,,,-,Battle/Synergy_S10001_Normal/Synergy_S10016_Normal,"5 마스코트, 2 엘나스, 2 예티와 페페"
EP015050002,1,5,C20003,C20004,C30002,C30003,C40001,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"5 수호대, 1 전직교관"
EP015050003,1,5,C10003,C10006,C30004,C30005,C40006,,,,,,,,-,Battle/Synergy_S10003_Normal/Synergy_S10018_Normal,"4 선봉장, 2 슬리피우드"
EP015050004,1,5,C20005,C20006,C30006,C30007,C40002,,,,,,,,-,Battle/Synergy_S10004_Normal/Synergy_S10024_Normal,"5 마법사, 1 전직교관"
EP015050005,1,5,C10008,C20010,C30004,C30005,C40005,,,,,,,,S10005_All,Battle/Synergy_S10005_Normal/Synergy_S10022_Normal/Synergy_S10003_Normal,"3 책사, 2 시그너스, 2 선봉장"
EP015050006,1,5,C10009,C10010,C20001,C30008,C40012,,,,,,,,S10006_All,Battle/Synergy_S10006_Normal/Synergy_S10025_Normal,"5 사냥꾼, 2 기사단장"
EP015050007,1,5,C20006,C20007,C30009,C30010,C40008,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal,"5 그림자, 1 전직교관"
EP015050008,1,5,C10006,C10011,C20008,C30004,C40009,,,,,,,,S10008_All,Battle/Synergy_S10008_Normal/Synergy_S10021_Normal/Synergy_S10003_Normal,"4 추격자, 3 오르비스, 2 선봉장"
EP015050009,1,5,C20001,C20009,C20010,C30011,C40010,,,,,,,,-,Battle/Synergy_S10009_Normal/Synergy_S10016_Normal,"5 싸움꾼, 2 엘나스"
EP015050010,1,5,C10012,C20011,C30007,C30013,C40013,,,,,,,,-,Battle/Synergy_S10010_Normal/Synergy_S10023_Normal/Synergy_S10024_Normal,"4 저격수, 3 모험가, 1 전직교관"
EP015050011,1,5,C10013,C20012,C20013,C30012,C40007,,,,,,,,-,Battle/Synergy_S10011_Normal/Synergy_S10020_Normal/Synergy_S10020_Add,"5 방해꾼, 2 아케인리버"
EP015050012,1,5,C10003,C10008,C20003,C20005,C30002,,,,,,,,-,Battle/Synergy_S10015_Normal,"5 시간의 신전, 1 책사"
EP015050013,1,5,C20002,C20009,C30001,C30008,C40010,,,,,,,,S10016_Rune,Battle/Synergy_S10016_Normal,"6 엘나스, 2 예티와 페페"
EP015050014,1,5,C10002,C10005,C10013,C30011,C30012,,,,,,,,-,Battle/Synergy_S10017_Normal,5 빅토리아 아일랜드
EP015050015,1,5,C10009,C20010,C30004,C30005,C40006,,,,,,,,S10018_Item,Battle/Synergy_S10018_Normal/Synergy_S10022_Normal/Synergy_S10003_Normal/Synergy_S10006_Normal,"4 슬리피우드, 2 시그너스, 2 선봉장, 2 사냥꾼"
EP015050016,1,5,C20006,C30003,C30009,C30010,C40004,,,,,,,,S10019_All,Battle/Synergy_S10019_Normal/Synergy_S10007_Normal/Synergy_S10024_Normal,"4 루디브리엄, 3 그림자, 1 전직교관"
EP015050017,1,5,C10004,C20004,C20012,C20013,C40007,,,,,,,,S10020_Rune,Battle/Synergy_S10020_Normal/Synergy_S10011_Normal/Synergy_S10024_Normal,"4 아케인리버, 3 방해꾼, 1 전직교관"
EP015050018,1,5,C10006,C10007,C10012,C20008,C40009,,,,,,,,-,Battle/Synergy_S10021_Normal/Synergy_S10008_Normal,"5 오르비스, 2 추격자"
EP015050019,1,5,C10009,C30005,C30006,C30009,C40007,,,,,,,,-,Battle/Synergy_S10022_Normal/Synergy_S10006_Normal,"5 시그너스, 2 사냥꾼"
EP015050020,1,5,C10010,C20004,C20011,C30007,C40013,,,,,,,,S10023_All,Battle/Synergy_S10023_Normal/Synergy_S10010_Normal/Synergy_S10024_Normal,"5 모험가, 2 저격수, 1 전직교관"
EP015050021,1,5,C20001,C20009,C30011,C30008,C40012,,,,,,,,-,Battle/Synergy_S10009_Normal/Synergy_S10016_Normal/Synergy_S10006_Normal/Synergy_S10025_Normal,"3 싸움꾼, 2 엘나스, 2 사냥꾼, 2 기사단장"
EP015050022,1.1,5,C10015,C20014,C20015,C30014,C40014,,,,,,,,-,Battle/Synergy_S10031_Normal,5 아랫마을
EP015050023,1.1,5,C10014,C20014,C20015,C30014,C40014,,,,,,,,-,Battle/Synergy_S10031_Normal,5 아랫마을
EP015050024,1.1,5,C10014,C10015,C20015,C30014,C40014,,,,,,,,-,Battle/Synergy_S10031_Normal,5 아랫마을
EP015050025,1.1,5,C10014,C10015,C20014,C30014,C40014,,,,,,,,-,Battle/Synergy_S10031_Normal,5 아랫마을
EP015050026,1.1,5,C10014,C10015,C20014,C20015,C40014,,,,,,,,-,Battle/Synergy_S10031_Normal,5 아랫마을
EP015050027,1.2,5,C10016,C20016,C20017,C30015,C40015,,,,,,,,-,Battle/Synergy_S10032_Normal,"5 마가티아, 1 책사"
EP015050028,1.2,5,C10008,C20016,C20017,C30015,C40005,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10005_Normal,"3 마가티아, 3 책사"
EP015050029,1.2,5,C10009,C20016,C30005,C30015,C40015,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10003_Normal/Synergy_S10022_Normal/Synergy_S10006_Normal,"3 마가티아, 2 선봉장, 2 시그너스, 2 사냥꾼"
EP015050030,1.2,5,C10011,C20016,C30008,C30015,C40015,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10008_Normal/Synergy_S10016_Normal/Synergy_S10006_Normal,"3 마가티아, 2 추격자, 2 엘나스, 2 사냥꾼"
EP015050031,1.2,5,C10016,C20004,C20017,C30002,C40015,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10002_Normal/Synergy_S10024_Normal/Synergy_S10005_Normal,"3 마가티아, 3 수호대, 1 전직교관, 1 책사"
EP015050032,1.3,5,C10017,C10018,C20018,C30016,C40016,,,,,,,,-,Battle/Synergy_S10033_Normal,"5 미우미우, 1 책사"
EP015050033,1.3,5,C20018,C30006,C30007,C30016,C40016,,,,,,,,-,Battle/Synergy_S10033_Normal/Synergy_S10004_Normal/Synergy_S10005_Normal,"3 미우미우, 3 마법사, 1 책사"
EP015050034,1.3,5,C20004,C20018,C30003,C30016,C40016,,,,,,,,-,Battle/Synergy_S10033_Normal/Synergy_S10002_Normal/Synergy_S10024_Normal/Synergy_S10005_Normal,"3 미우미우, 3 수호대, 1 전직교관, 1 책사"
EP015050035,1.3,5,C10017,C20012,C20013,C30016,C40016,,,,,,,,-,Battle/Synergy_S10033_Normal/Synergy_S10011_Normal/Synergy_S10020_Normal/Synergy_S10005_Normal,"3 미우미우, 3 방해꾼, 2 아케인리버, 1 책사"
EP015050036,1.3,5,C10018,C20008,C30010,C30016,C40016,,,,,,,,-,Battle/Synergy_S10033_Normal/Synergy_S10008_Normal/Synergy_S10024_Normal/Synergy_S10005_Normal,"3 미우미우, 2 추격자, 1 전직교관, 1 책사"
EP015050037,1.4,5,C10019,C20019,C30017,C30018,C40010,,,,,,,,-,Battle/Synergy_S10034_Normal,"4 처형자, 2 엘나스"
EP015050038,1.4,5,C10019,C20019,C30017,C30018,C40006,,,,,,,,-,Battle/Synergy_S10034_Normal,"4 처형자, 2 슬리피우드"
EP015050039,1.4,5,C10019,C20019,C30017,C30018,C40005,,,,,,,,-,Battle/Synergy_S10034_Normal,"4 처형자, 2 시그너스"
