Id,Portrait,Stand,Fail,Walk
CNpc0001,398f3b4d030c4ebcae8ee242bbba1e29,1c67e415a49e4029b8609b7f47dc420b,bd32b9a526f94a6aa36e65e912d3c3ab,8ae24a525f414074810f0c6892ad7162
CNpc0002,2259c3dbcd6b4f6f95f55e2cb0167c3a,443a1fc9b6e44c1ab55b2552028d0731,fc1e0bf06d5341f3a3b8c9e584fc60c6,d2a23bff69b7480991501b018a4710db
CNpc0003,0eef2319d236485d87ee1d34cc41218c,35186c2d97d9457aac3234a3d47a4114,1ffafc2db245479ba49a440bf516e638,1ffafc2db245479ba49a440bf516e638
CNpc0004,2f5c6a0d64a54ae4a4baf54c60c0d113,15046be750104a548685a45ed5e7a3a8,f462920f261d46c38113099b03dc2d19,43ebb0d26fca4ef1bb1d20fe567bc639
CNpc0005,fcd8b26e5a5f45f7b1a8c11238d51a72,267166a9be8b47298d195438fe9cefe3,ca8e681e121a4219a2a6c2867dcb7a30,05733d61f4944e11b01754ef63ab83ea
CNpc0006,8070c6993bfc4e72b162e0578719b431,64c9f720671d4f13a548df8e26ec009e,0268d2925ac84bc8b4ddd0449106de25,4f860bd7ba564c2794b74fbf85912364
CNpc0007,82030d66687f4d0a84fe5ba11ca14efb,6bd4fb765db247c88622364aa9c71d6a,ec126affe1c244a2aa6d3bd8be14986a,f421abcc6a1b4b26a0533520e048c868
CNpc0008,0fcc09fa69de4aa4b56fe73ebcef7e73,008b6cf09d81445081d4522a66beffed,121e11258a2649a7aeba36b5a86e8dd6,d3f05ffac1a64094ae33954080e72850
CNpc0009,01ba72f046b14981a208fd0f810fc8d6,4127c624de1848cebe0151e0afcd18c0,91c14ad28ba142f0bf58445803fc2ddb,387842ca0afa4023a1901379f259fc35
CNpc0010,ff946c8324184b2eaa9970df496772a7,cf562776b6bd44a9b71c5fd588f33395,6fa06cad60e144348caba24e23e2ff7e,c40300760e8f4ddf98307a64efc0ec45
CNpc0011,0c432f421a6c4fa2a8cfd0473fe8a279,03378c24fe2c49b68df9d0e7a42c0353,29559eb94c6c4a1db10b30c81b77e7da,d6e174ad8ee045639031c22cc6bbfabd
CNpc0012,24b0b27a80e34fad944ca84e96222130,88638fda436944adb8aaa6f767276da8,7eababaf3ee24fb88ad5a1343f4eda55,0729ea0fe7e248148ee16c7bf4773485
CNpc0013,056ede55734b40f183623eae0f807fb8,606e3cac3e4948e99e32f742901d450c,ac5e072d2955496fbaed706860b8b910,4565e03ee52b441f81ffca1fb3a64aee
CNpc0014,54d930b504ed434097afec92cc1e8665,33528413e414482c93dfa132306586a6,5f697515b0254f0da76a062e472102ee,a21bd3bdb4e4409296cb41e57c809739
CNpc0015,f6790eddd52e46099f12178c2511d820,c95e5c7cca4f41d793d8cdab19ad742d,d80e052ee6b7421c9e9f576f858554da,ea3ccbfe50664b2e9368aee68679918b
CNpc0016,73f1399ae6cb4e8db1ecf26f8dce70e5,5132cafe77fc438e94631148266e36d9,5132cafe77fc438e94631148266e36d9,77a1d23d07624b189c16a7ec7981e7b1
CNpc0017,038e2143312c40e5a6e1293eb8fca910,92aaf3afa73548ea9cf56dea810bfb8c,4f94ae370b3345cfae2b7679333256aa,7bacc5766ce246b39001c3a2f20b74cf
CNpc0018,3f38a13c98354eeaa085eb0d570c00d0,d9ad15b371b44a128a7f6138bd0a0e04,d9ad15b371b44a128a7f6138bd0a0e04,8f349c10b0e449d98081b4a11283b2f3
