EarningLevel,ManagementLevel,BestRecipeEarnings,AccumEarnings,ServingEmployeeWarningLevel,BurgerOrderCountMin,BurgerOrderCountMax,ExpectedRecipeAttractive,StoreAttractiveLevel
1,0,500,3000,12,3,3,0,1001
2,0,1000,5000,12,3,3,5,1001
3,0,3000,10000,12,3,3,7.5,1004
4,0,5000,50000,12,3,3,8.5,1005
5,0,20000,100000,12,3,4,12.5,1101
6,0,30000,200000,12,4,4,12.5,1101
7,1,50000,300000,12,4,4,12.5,1101
8,1,70000,400000,12,4,4,12.5,1102
9,1,100000,500000,12,4,5,12.5,1103
10,1,150000,1000000,12,4,5,15,1103
11,1,180000,1500000,12,4,5,15,1103
12,1,200000,2000000,13,4,5,15,1104
13,2,230000,2500000,14,5,5,15,1104
14,2,240000,3000000,15,5,5,17.5,1106
15,2,320000,3500000,16,5,6,17.5,1202
16,2,330000,4000000,17,5,6,17.5,1202
17,2,400000,4500000,18,5,6,20,1203
18,2,430000,5000000,19,5,6,20,1203
19,3,500000,10000000,20,6,6,20,1204
20,3,540000,15000000,21,6,6,20,1204
21,3,700000,20000000,22,6,7,20,1205
22,3,800000,25000000,25,6,7,22.5,1206
23,3,1000000,30000000,25,6,7,25,1206
24,3,1200000,40000000,25,6,7,25,1206
25,4,1300000,50000000,26,6,7,25,1210
26,4,1400000,60000000,27,7,7,25,1210
27,4,1500000,70000000,28,7,7,25,1210
28,4,1700000,80000000,29,7,8,27.5,1212
29,4,1800000,90000000,30,7,8,27.5,1301
30,4,2000000,100000000,30,7,8,27.5,1301
31,4,2600000,150000000,31,7,8,27.5,1303
32,4,2900000,200000000,32,8,8,27.5,1303
33,4,3000000,250000000,33,8,8,27.5,1303
34,4,3100000,300000000,33,8,8,27.5,1303
35,4,3200000,350000000,33,8,8,30,1303
36,4,3300000,400000000,34,8,8,30,1303
37,5,3530000,450000000,35,8,8,30,1303
38,5,3800000,500000000,36,8,9,32.5,1305
39,5,3920000,550000000,36,8,9,35,1305
40,5,4060000,600000000,36,8,9,35,1305
41,5,4800000,650000000,37,9,9,35,1305
42,5,5000000,700000000,38,9,9,35,1305
43,5,5400000,750000000,39,9,10,35,1307
44,5,5900000,800000000,39,9,10,35,1307
45,5,6000000,850000000,39,9,10,35,1307
46,5,6500000,900000000,39,10,10,35,1307
47,5,7300000,950000000,39,10,10,35,1307
48,5,7500000,1000000000,39,10,10,35,1307
49,5,7600000,1050000000,39,10,10,35,1307
50,5,9270000,1100000000,39,10,10,35,1307
51,5,9350000,1150000000,39,10,10,35,1307
52,5,9430000,1200000000,39,10,10,35,1307
53,5,9520000,1250000000,39,10,10,35,1307
54,5,9600000,1300000000,39,10,10,35,1307
55,5,9680000,1350000000,39,10,10,35,1307
56,5,9770000,1400000000,39,10,10,35,1307
57,5,9850000,1450000000,39,10,10,35,1307
58,5,9930000,1500000000,39,10,10,35,1307
59,5,10010000,1550000000,39,10,10,35,1307
60,5,10100000,1600000000,39,10,10,35,1307
61,5,10180000,1650000000,39,10,10,35,1307
62,5,10260000,1700000000,39,10,10,35,1307
63,5,10350000,1750000000,39,10,10,35,1307
64,5,10430000,1800000000,39,10,10,35,1307
65,5,10510000,1850000000,39,10,10,35,1307
66,5,10590000,1900000000,39,10,10,35,1307
67,5,10680000,1950000000,39,10,10,35,1307
68,5,10760000,2000000000,39,10,10,35,1307
69,5,10840000,2050000000,39,10,10,35,1307
70,5,10920000,2100000000,39,10,10,35,1307
71,5,11010000,2150000000,39,10,10,35,1307
72,5,11090000,2200000000,39,10,10,35,1307
73,5,11170000,2250000000,39,10,10,35,1307
74,5,11260000,2300000000,39,10,10,35,1307
75,5,11340000,2350000000,39,10,10,35,1307
76,5,11420000,2400000000,39,10,10,35,1307
77,5,11500000,2450000000,39,10,10,35,1307
78,5,11590000,2500000000,39,10,10,35,1307
79,5,11670000,2550000000,39,10,10,35,1307
80,5,11750000,2600000000,39,10,10,35,1307
81,5,11840000,2650000000,39,10,10,35,1307
82,5,11920000,2700000000,39,10,10,35,1307
