EarningLevel,ManagementLevel,BestRecipeEarnings,AccumEarnings,ServingEmployeeWarningLevel,BurgerOrderCountMin,BurgerOrderCountMax,ExpectedRecipeAttractive,StoreAttractiveLevel
1,0,500,1000,6,3,3,0,1001
2,0,1000,5000,6,3,3,5,1001
3,0,2000,10000,6,3,3,7.5,1001
4,0,5000,20000,7,3,4,8.5,1004
5,0,10000,30000,7,3,4,10,1005
6,0,20000,50000,7,3,4,12.5,1006
7,1,23000,70000,7,3,4,12.5,1101
8,1,26000,100000,7,3,4,12.5,1101
9,1,40000,150000,8,4,4,15,1101
10,1,46000,200000,9,4,4,15,1102
11,1,50000,250000,9,4,5,15,1103
12,1,60000,300000,9,4,5,15,1103
13,2,64000,400000,9,4,5,15,1103
14,2,69000,500000,9,4,5,15,1103
15,2,81000,600000,10,5,5,15,1103
16,2,100000,700000,11,5,5,15,1103
17,2,119000,800000,12,5,6,15,1104
18,2,125000,1000000,12,5,6,15,1104
19,3,144000,1500000,12,5,6,17.5,1104
20,3,157000,2000000,12,5,6,17.5,1106
21,3,188000,2500000,12,6,6,17.5,1106
22,3,200000,3000000,12,6,6,17.5,1106
23,3,249000,3500000,12,6,6,17.5,1201
24,3,266000,4000000,12,6,6,17.5,1201
25,4,282000,4500000,13,6,6,17.5,1201
26,4,302000,5000000,14,6,6,17.5,1201
27,4,351000,6000000,15,6,7,17.5,1202
28,4,373000,7000000,15,6,7,17.5,1203
29,4,470000,8000000,15,6,7,20,1203
30,4,500000,9000000,15,6,7,20,1203
31,5,510000,10000000,15,6,7,20,1203
32,5,520000,15000000,15,6,7,20,1203
33,5,680000,20000000,15,7,7,20,1204
34,5,690000,25000000,15,7,7,20,1204
35,5,710000,30000000,16,7,7,20,1204
36,5,720000,35000000,17,7,7,20,1204
37,5,880000,40000000,18,7,8,20,1204
38,5,900000,45000000,18,7,8,20,1205
39,5,910000,50000000,18,7,8,20,1205
40,5,930000,55000000,18,7,8,20,1205
41,5,940000,60000000,18,7,8,22.5,1205
42,5,1000000,65000000,18,8,8,22.5,1205
43,5,1040000,70000000,18,8,8,22.5,1205
44,5,1060000,75000000,18,8,8,22.5,1205
45,5,1080000,80000000,18,8,8,22.5,1205
46,5,1090000,85000000,18,8,8,22.5,1205
47,5,1110000,90000000,18,8,8,22.5,1205
48,5,1130000,95000000,18,8,8,22.5,1205
49,5,1140000,100000000,18,8,8,22.5,1205
50,5,1160000,105000000,18,8,8,22.5,1205
51,5,1180000,110000000,18,8,8,22.5,1205
52,5,1200000,115000000,18,8,8,22.5,1205
53,5,1210000,120000000,18,8,8,22.5,1205
54,5,1230000,125000000,18,8,8,22.5,1205
55,5,1250000,130000000,18,8,8,22.5,1205
56,5,1260000,135000000,18,8,8,22.5,1205
57,5,1280000,140000000,18,8,8,22.5,1205
58,5,1300000,145000000,18,8,8,22.5,1205
59,5,1320000,150000000,18,8,8,22.5,1205
60,5,1330000,155000000,18,8,8,22.5,1205
61,5,1350000,160000000,18,8,8,22.5,1205
62,5,1370000,165000000,18,8,8,22.5,1205
63,5,1380000,170000000,18,8,8,22.5,1205
64,5,1400000,175000000,18,8,8,22.5,1205
65,5,1420000,180000000,18,8,8,22.5,1205
66,5,1440000,185000000,18,8,8,22.5,1205
67,5,1450000,190000000,18,8,8,22.5,1205
68,5,1470000,195000000,18,8,8,22.5,1205
69,5,1490000,200000000,18,8,8,22.5,1205
70,5,1510000,205000000,18,8,8,22.5,1205
71,5,1520000,210000000,18,8,8,22.5,1205
72,5,1540000,215000000,18,8,8,22.5,1205
73,5,1560000,220000000,18,8,8,22.5,1205
74,5,1570000,225000000,18,8,8,22.5,1205
75,5,1590000,230000000,18,8,8,22.5,1205
76,5,1610000,235000000,18,8,8,22.5,1205
77,5,1630000,240000000,18,8,8,22.5,1205
78,5,1640000,245000000,18,8,8,22.5,1205
79,5,1660000,250000000,18,8,8,22.5,1205
80,5,1680000,255000000,18,8,8,22.5,1205
81,5,1690000,260000000,18,8,8,22.5,1205
82,5,1710000,265000000,18,8,8,22.5,1205
