EarningLevel,ManagementLevel,BestRecipeEarnings,AccumEarnings,ServingEmployeeWarningLevel,BurgerOrderCountMin,BurgerOrderCountMax,ExpectedRecipeAttractive,StoreAttractiveLevel
1,0,10000,50000,24,5,6,10,1004
2,0,50000,100000,24,6,6,10,1004
3,0,100000,200000,24,6,7,11.5,1004
4,0,500000,500000,24,7,7,17.25,1006
5,0,1000000,1000000,24,7,8,17.25,1101
6,0,2000000,5000000,24,8,8,20.125,1102
7,1,2800000,10000000,24,9,9,20.125,1101
8,1,4000000,15000000,25,9,10,20.125,1103
9,1,5000000,20000000,26,10,10,25.874999999999996,1103
10,1,6000000,30000000,27,10,11,25.874999999999996,1106
11,1,8000000,40000000,28,11,11,28.749999999999996,1202
12,1,9000000,50000000,29,11,11,28.749999999999996,1203
13,2,10000000,75000000,30,11,12,28.749999999999996,1204
14,2,12000000,100000000,31,12,12,28.749999999999996,1206
15,2,17000000,150000000,32,12,12,31.624999999999996,1207
16,2,18000000,200000000,33,12,13,31.624999999999996,1304
17,2,21000000,250000000,33,13,13,34.5,1307
18,2,25000000,300000000,34,13,13,34.5,1307
19,3,26000000,400000000,35,13,14,34.5,1308
20,3,30000000,500000000,36,13,14,34.5,1308
21,3,33000000,650000000,36,14,14,34.5,1308
22,3,43000000,800000000,37,14,14,37.375,1308
23,3,48000000,1000000000,38,14,15,37.375,1312
24,3,60000000,1250000000,39,14,15,37.375,1402
25,4,70000000,1500000000,39,15,15,37.375,1406
26,4,75000000,1800000000,40,15,15,40.25,1407
27,4,75000000,2000000000,41,15,16,40.25,1407
28,4,77000000,2400000000,42,15,16,40.25,1407
29,4,90000000,2800000000,42,16,16,40.25,1407
30,4,100000000,3200000000,43,16,16,40.25,1407
31,5,120000000,3600000000,44,16,17,40.25,1409
32,5,126000000,4000000000,45,17,17,43.125,1410
33,5,133000000,4500000000,48,17,18,43.125,1410
34,5,140000000,5000000000,48,18,18,43.125,1501
35,5,144000000,6000000000,49,18,18,43.125,1501
36,5,151000000,7000000000,50,18,19,43.125,1503
37,5,166000000,8000000000,51,18,19,46,1503
38,5,180000000,9000000000,51,19,19,46,1504
39,5,185000000,10000000000,52,19,19,46,1504
40,5,190000000,11000000000,53,19,20,46,1504
41,5,195000000,12000000000,54,20,20,46,1504
42,5,200000000,13000000000,55,20,20,46,1504
43,5,209000000,14000000000,56,20,21,46,1504
44,5,250000000,15000000000,57,20,21,48.87499999999999,1505
45,5,261000000,16000000000,57,21,21,48.87499999999999,1505
46,5,266000000,17000000000,58,21,21,48.87499999999999,1510
47,5,278000000,18000000000,59,21,22,48.87499999999999,1515
48,5,283000000,20000000000,60,21,22,48.87499999999999,1515
49,5,295000000,22000000000,61,22,22,48.87499999999999,1517
50,5,301000000,24000000000,62,22,22,48.87499999999999,1523
51,5,313000000,26000000000,63,22,23,51,1525
52,5,325000000,28000000000,64,23,23,51,1525
53,5,338000000,30000000000,65,23,24,51,1526
54,5,351000000,32000000000,66,24,24,51,1526
55,5,357000000,34000000000,66,24,24,51,1526
56,5,370000000,36000000000,67,24,25,51,1526
57,5,431000000,38000000000,68,24,25,51.74999999999999,1528
58,5,453000000,40000000000,69,25,25,51.74999999999999,1528
59,5,467000000,42000000000,69,25,25,51.74999999999999,1528
60,5,480000000,44000000000,69,25,25,51.74999999999999,1528
61,5,494000000,46000000000,69,25,25,54,1528
62,5,500000000,48000000000,69,25,25,54,1528
63,5,514000000,50000000000,69,25,25,54,1528
64,5,521000000,52000000000,69,25,25,54,1528
65,5,527000000,54000000000,69,25,25,54,1528
66,5,534000000,56000000000,69,25,25,54,1528
67,5,540000000,58000000000,69,25,25,54,1528
68,5,547000000,60000000000,69,25,25,54,1528
69,5,553000000,65000000000,69,25,25,54,1528
70,5,560000000,70000000000,69,25,25,54,1528
71,5,566000000,75000000000,69,25,25,54,1528
72,5,573000000,80000000000,69,25,25,54,1528
73,5,579000000,85000000000,69,25,25,54,1528
74,5,586000000,90000000000,69,25,25,54,1528
75,5,592000000,95000000000,69,25,25,54,1528
76,5,599000000,100000000000,69,25,25,54,1528
77,5,605000000,105000000000,69,25,25,54,1528
78,5,612000000,110000000000,69,25,25,54,1528
79,5,618000000,115000000000,69,25,25,54,1528
80,5,625000000,120000000000,69,25,25,54,1528
81,5,631000000,125000000000,69,25,25,54,1528
82,5,638000000,130000000000,69,25,25,54,1528
