Name,Ruid
Amb_ChuchuMove_Loop,4c88022921e64e4cb0afabd2c0aa91fa
Amb_Cook,afdffce83fc3492dbaf6f9dc408b23f2
Amb_Counter,b871993869a24ddf80611a1555adfb89
Amb_Display,889dd62345af49c3a45749a703e4a2f7
Btn_GameStart,6cfd4c33070843ec8546e85ad02edcb6
Btn_Find,0453e14a64b44fbb9916ce29ef669a4e
Btn_IngreBoxOpen,22665f27fb504b659a9724fc0bbbf47e
Btn_MainMenu,eabef1831c2e4ad9898d9d4b864d11c5
Btn_OpenPaperHint,8ca7b0a37d0c47bcb27a6658e8a5b7f1
Btn_RecipeComplete,83605fb5affe42338df3206d2c0e8e79
Btn_Reroll,786e19d617f34c76bd7cca631b8c49d5
Eff_CamMovingDeco,c7f333c2de8f49c896ff611aeb724aac
Eff_CamMovingInterior,e152d6cd03cf415d8811b09c5e2cca8f
Eff_CamMovingZoomOut,328c8852788c4056a664011705fed274
Eff_ChuchuExpUp,8bc0f588d8ce450aa98ca5814ef84d94
Eff_ChuchuLevelUp_v2,f2827f83ce8d4918bd7b43861e163e42
Eff_CountUp_Loop,4de03741529d4613aa9c009982b5bf92
Eff_DeleteRecipe,0f054e2571114ad7a8b3a8a2b1d2cc7c
Eff_EquipUpgrade,ae65671022e3447abae971d959a212ee
Eff_EquipUpgradeFail,89384ca7ec404e0e8d5ea5df037d4f43
Eff_EquipUpgradeSuccess,79989427bb794c2582728157f7c7cd81
Eff_FindIngreBox,b0b35635827248fc8b4c556ea1cb9021
Eff_FindItemHint,ae572597fc5848afa03c73acadc50601
Eff_FindPaperHint,e391c9ce701e4728be2b956be80b7ee7
Eff_GainDia,5696b10f22984b8396ccbd9d5e49ea9e
Eff_GainHeart_v2,84278902f0b14f9dbe937c5ab26c80e3
Eff_GhostMove,5eac7964840a4d63b762f3f63ba68ede
Eff_GuessWhat,aee6efb891bf49a98d3a99d653141d26
Eff_InteriorConstruct_v2,aea070d89400446a8fb7e9053f0e8600
Eff_MonthlyBest,ff1eebb8f4cf4cf6a553a12a125a006d
Eff_Overlimit,c1212b830f754faba5ccfca87e527d0d
Eff_RecipeIcon,5eef39ef92a44ab1846ddde0bf04583b
Eff_RecipeSkill,9c29190081584772815605f22fb6c9f3
Eff_ScooterArrive_v2,a3fd8abe0c054202b4b0b65651023472
Eff_ScooterMove_v2,37bfd636f11b4afeb5a90fa32789d8ba
Eff_SettingMenu,22a8658e717f4c5a854868d57bee6b58
Eff_Spin_Loop,ecfada2f6d664ff1b07d3b5840fdff68
Eff_TruckArrive_v2,bf884b3a57354616b4825169778fbdef
Eff_VipOrderBonus,c91aad40fffc48a087b192209dceed07
Eff_VipOrderPointDrop,b46a80af37d748bd936623fbff2be0da
Eff_VipOrderPointGet,2f242ac805e4403b8852abc543043f79
Eff_VipOrderSlot,130798aa688b47edb1f141fb2866e352
Eff_Waiting_Loop_v1,cd5f0a4c046445d595cc9979876c25f2
Eff_Waiting_Loop_v2,c85271ec931a47b8a88e14845942236a
Eff_Waiting_Loop_v3,4fdf0f6505d04c8f927b16191ba6d29f
