Id,NameKey,NameTextVlookup,GroupId,Type,Skill1Type,Skill2Type,LocalPosOffetY,Portrait,PortraitUIRUID,Stand,Chat,Move,Love,Cry,Sleep,Stunned,Rest,EquipNameKey,EquipIcon,EquipStand,EquipChat,EquipMove,EquipLove,EquipCry,EquipSleep,EquipStunned,EquipRest
E0001,NameE0001,갈색 고양이,1,Cook,40001,10002,-40,762ea0da146740588fed4a1345332912,/762ea0da146740588fed4a1345332912/Sprite/1.00/0.95/-1.50/-19.50,7cc485b82d7b4e559b728d59f05f6027,7cc485b82d7b4e559b728d59f05f6027,dc35c40c75f94eb69ab6329f4226e660,7cc485b82d7b4e559b728d59f05f6027,a7ba4e31794040a8ac0df59b518fc5b3,7cc485b82d7b4e559b728d59f05f6027,a7ba4e31794040a8ac0df59b518fc5b3,7cc485b82d7b4e559b728d59f05f6027,EquipE0001,d3dddf34fd424302bf3199ede7933bc1,4a171b46c1a04b03ad0c58f3f5086a87,4a171b46c1a04b03ad0c58f3f5086a87,c62b070671ba4eb98ef049cd4f8e160d,4a171b46c1a04b03ad0c58f3f5086a87,0fad042b2daa4151affb9aed9958f9f3,4a171b46c1a04b03ad0c58f3f5086a87,0fad042b2daa4151affb9aed9958f9f3,4a171b46c1a04b03ad0c58f3f5086a87
E0002,NameE0002,검은 고양이,1,Serving,30002,20002,-40,05661cfd5d674d99a8090b5713b62de7,/05661cfd5d674d99a8090b5713b62de7/Sprite/1.00/0.95/-1.50/-19.50,ff8d431690a34519b5dba6ccf944b29c,ff8d431690a34519b5dba6ccf944b29c,fbd8f26263da47ab8b00ad46612ddfc2,c8995be2cc2a48ae9b21291bc126ecb0,89f953b54e5645db848f75b2a62ea39b,c8995be2cc2a48ae9b21291bc126ecb0,89f953b54e5645db848f75b2a62ea39b,c8995be2cc2a48ae9b21291bc126ecb0,EquipE0002,6d30877583184f35811a07b974b55626,7aff42c5d45a47fe8744535812a2a4d6,7aff42c5d45a47fe8744535812a2a4d6,4fbd5b3c677347689d42304192600150,d9978d1d7d594c31af2b6b7878d0933f,34077a113e0a4919860b88f3993ebeff,d9978d1d7d594c31af2b6b7878d0933f,34077a113e0a4919860b88f3993ebeff,d9978d1d7d594c31af2b6b7878d0933f
E0003,NameE0003,디노 걸,2,Cook,30001,10001,-40,135b7a2427764c6696efd79c5e84d58e,/135b7a2427764c6696efd79c5e84d58e/Sprite/1.00/0.88/0.00/-21.00,b54f747738b4494291b9cef50cc29d70,f03105dadfb9466b9970b24bb9bc194b,a7e2d6b75288418fbd3f7c0e6065f6b5,c5ce38c88b9a498795fade37c2d6c450,8ef1e248f1634e0e941e7c7d9366d792,e83410f74b1d43fb9fccb5c2b57d239b,c5ce38c88b9a498795fade37c2d6c450,7f54e195975c43d79a56389322f3f60c,EquipE0003,9a17f7ad6a0846e6b7445a540a0d5709,7ca6d798b1ec4882b0cdf552948d621c,b52106a805534c0388a5ae8b8f0b2210,fbf32fa92cbb426a90129d91c96b30e1,69ce4f3653034cc0bad65f927ebd60b7,fa8893f10cb447f7865f3a6e38441f5b,69ce4f3653034cc0bad65f927ebd60b7,16a6718dbbd74cb8b7b6a09efb0202da,6c472578fc3845e7bc1f9f6c500c6288
E0004,NameE0004,디노 보이,2,Cook,30002,10002,-40,0eb7649c98034192b9b3bfea9afffc21,/0eb7649c98034192b9b3bfea9afffc21/Sprite/1.00/0.88/0.00/-21.00,d5f42ad3a07e4038902bdb6a71ab695b,bd44ae63253845faa5f7a57e42a21b71,617bb82b2b644b6e92078628f0382283,fca9b3ae72b549f9b0d81e348625393a,1cc28720f6f34e068c0f04c72869d572,f483057cad4249aa909312241e99b4db,fca9b3ae72b549f9b0d81e348625393a,80eb2af215a84f11aa56432e12f5a1fb,EquipE0004,9a17f7ad6a0846e6b7445a540a0d5709,7ca6d798b1ec4882b0cdf552948d621c,b52106a805534c0388a5ae8b8f0b2210,fbf32fa92cbb426a90129d91c96b30e1,69ce4f3653034cc0bad65f927ebd60b7,fa8893f10cb447f7865f3a6e38441f5b,69ce4f3653034cc0bad65f927ebd60b7,2b98ff2a8d694dca8f3332cd852885e5,6c472578fc3845e7bc1f9f6c500c6288
E0005,NameE0005,멍 엘윈,3,Cook,30001,10001,-40,3aca81332a8b4469a502919ebd226bee,/3aca81332a8b4469a502919ebd226bee/Sprite/1.00/0.78/-3.50/-19.00,8e0fea12002e409189e3345afe3c128f,934d5089c3e14747b529766476ad16af,8734078b38c748b3a9822893ad601237,dc8b403964d8469bb931030015b98dbf,4a4fa3869a70483f8f14ce42ff25916b,17c2e17928784764b8233daf74551f10,6c8e7611cda2429b92b6ade8edc3d42a,c05f59e40219460d826fb753a7987146,EquipE0005,1b20a1fac7d8413d8ec06c6ac1eaec68,af448488c927451397f9391c9cada588,a57eae44620745e58e7a1e9733eac8cc,99ef61879a3b40ceb47f618d30bce9f5,986ece26fb21425ba4db5ddb9c4666f7,578770758b8746d0afa58288a9f474b3,6afd1be30b3f4aba93685ddc635538e4,2d3230179176467db4b5cc8030b23b0d,bd040dcd125d4178b33b0da43ae84940
E0006,NameE0006,쁘띠 네로,3,Serving,40004,20001,-40,61f7b17394c540189dbbad7cb09b8833,/61f7b17394c540189dbbad7cb09b8833/Sprite/0.83/1.00/-4.00/-29.00,ced928c7a0a240b8870a0783594eac14,ace644a439bd4d6f869aede0fb90426b,aa5f138c23b1415e879eb2d29654c172,5c019f50c56146af9f55e91d7a3de712,ef2a5fe3cb30484b8d2d11f6b081baf5,9d474d6303f043b088e0f602f5b57031,96b9787ea7fa4f51a76399de7dee98e2,2f8a26a11e754c659371babfa92300b7,EquipE0006,5ec4e8c132844ac4b38cac6239cb92e3,72e6bb0d4090445ca621d613218378d3,06fac63168e640aeb8b2e62f1e3dd8fc,572978a79f694efea873383a1512333e,06fac63168e640aeb8b2e62f1e3dd8fc,a0fdb89a43b94279b1b1855a674b30b6,888062c3aca34d3699e58fbe9d0f64c5,f1cde3a4c21a433d8ca02ce16f75b3a1,6c5fa1286d984deb81159b6450b1b345
E0007,NameE0007,길냥이 치즈,4,Cook,30004,10002,-40,da7fd9475004412c8e48875bd8902029,/da7fd9475004412c8e48875bd8902029/Sprite/1.00/0.86/-2.00/-12.00,7659e91dc7804da2a4e3a46a0107f916,8dc188b2c4344d9abfc8c75ff4f01251,07222726370a4416be0db4af85f15f71,9b02b2a960544958a379cf23050f2109,4d14fd3aebf54bcbbb53143c71ac5df8,3d58f4a76dc9420c88b5bcdb52963c75,4d14fd3aebf54bcbbb53143c71ac5df8,22245e2669ed4b78a4eb6576a79d57f6,EquipE0007,9a84770005f6472992de60c5eb9c7c34,8754b8131d734d2d98094e448eabffa3,2ad019339f1c4289808fb67c5c8f1095,bf9547755e7641a088dc70c31125e0f1,0809cc62d64143688c37137591b2d4cf,d7bcc276fa454f3d8f8ae61cd26b36e1,c034e1c965bd4151b4beca9e220b59d0,d7bcc276fa454f3d8f8ae61cd26b36e1,22e1b9c85fda4bec9ab0fb0a824e4abc
E0008,NameE0008,아깽이 네로,4,Serving,30004,20001,-40,b86fc7a4c82b4664afadae63671c064d,/b86fc7a4c82b4664afadae63671c064d/Sprite/1.00/0.86/-2.00/-12.00,478da3c06d07461da0a92b491fe99ea6,05dd506b667b49d590171e59d75c1d91,6a96db73b7e64b2681009fcb72955ed5,a321ee88f3c243f1bd37578960a7fcb8,20c89d39545045adb2fe80ee856248a3,394b63e0c2de4fb39f2c96303cd3e2dc,15b51f9c64c14a8a8c8edf2c7aa8faac,561d150a385748b89733cbab33bc0c35,EquipE0008,afadedcb90064c0e8844a28f10d0249d,c5d17d7c555743f4a11234b9a79aaada,d0826c69e00645a2a2b63a3e2c25de64,d89e3757b3bb49a2b3bef7717acefd16,b3bd67341eef448cb6cf93cf239650d4,d667239fdba04440af9cf5c8b1198eb2,cc11c02f568b44238dde2757b50b1cbf,c58cb7714ba746b587f014a316bd0a35,0986d790df4849478199f6c27a00a83d
E0009,NameE0009,오동통 구리,5,Cook,30005,10001,-40,0b997adea2d8490eb9a63e78934b94dc,/0b997adea2d8490eb9a63e78934b94dc/Sprite/1.00/0.72/-2.50/-19.00,d4cb10366f7a4d5182639ab8f22700f9,985fec5160aa4a51bc5a61c92c37c0f0,f8b91d48222a414f93d3134ec82de019,661a1f6b952a4742a737fe6a7c456085,c2589ebbe7ed409d971b10fb0b19c990,eccdcb41e44c4d56aaa7cbbce347ee40,e6aa078ad6ce4dceaed4c5641614881a,dc6df539f2f5460ab69698867830fc69,EquipE0009,09f2dab16351464292cdf60e8c7a1a1c,8fbc124f731f4c7ca4f8b999d84f0caa,8795cd263b4341db93a23a8a9107cb65,e14619e2e8bc4a8a991fb1753da984a8,2f66d4669c334417ba6a16268baa4dad,35ad80f4c51848da8670d64ecffcda77,41c40a62f2414839ad3238108571703b,e89235fd1204413abf1d9c39fce1291c,e10bc2c6d9ff442daa6819a19fd6cdc3
E0010,NameE0010,웰시코기,5,Cook,30005,10002,-40,0d81c935b81f4ac5a4d24592c071536d,/0d81c935b81f4ac5a4d24592c071536d/Sprite/1.00/0.83/2.50/-19.50,d7f5c9f569d84b169633fc8f7ce118ed,281e858f75fe43d1934b47dc69025e83,87ccd6be68b5438481d982c3d686a435,9c759c434a7a4a08ac33444d17730b57,b7de626ec3d8469d87fe822f97e7dca7,12a437cef0e6454d88a054b73622118a,abad1758cc2b4179801edaa7eb59d496,5354c1514b964e049da612dced771e7a,EquipE0010,149d2d6574e64c4a92a0d7b7dbf62c86,82376630a9624a63a700a957bdaa7067,5b9602a6d5d74e028ccd83fb6fb3c5ea,c539951ae8564f948614020b850a880a,919cba378e94436abe171ca9a7e78587,34752949c4174c8cb8dff2f03348ac83,0e2131f0a05642e99037b923e9c3e13a,1ed319dddbdb4276b653ad88aed3a75c,5ba5cf0ec9a24718897ac408ea9934f8
E0011,NameE0011,페르시안 캣,5,Cook,30006,10002,-40,028238c51a514d6888534c38ef185df7,/028238c51a514d6888534c38ef185df7/Sprite/1.00/0.78/-4.00/-20.00,4dc8849ce9b64fbd9e1ed9a16204770e,90542128d04a4ff9be600313d66386e6,b9913f7d262e49b3a6b2a6b9580bfa0d,b7a42dc547c5414f8b89ab90f6cae18b,2fbd27a451614adcae96561815b8ef9a,530dda1c7f6e4d9e939483be4590a10e,cc72e27d1b6a4ea6a2d6f6755bb3efd6,18e12495d0084979a0924249ab682380,EquipE0011,edcb23dd8616425096993b9a5da5c7c0,fa443b7fc3cb44aeab1ee0e6ee26f328,b4074d89a143413c8ffad9716ec71f6b,46382a8909854595b373c1452c4bacd8,d1dc41d63e0947649255934c35475db3,c1a373cea0894fdf8f3596c97a2d314f,ffdfa4edb9f2470e8e2425668d8e521c,41f590b1454844e0bc82ac8e0d782475,ee1faf1ef4714924978485c48bb1d988
