Id,BurgerNum0,BurgerNum1,BurgerNum2,BurgerNum3,BurgerNum4
Veggie1,beb5218631b54ae09072ce3615d2d15e,22d7b56d067144bea0fcabdd31f756ca,72f16e2e5efa400d97ec71149141fea1,3a5cc4e340db4b2e8d0d619e3e842540,aebaa7d1a3b8465998d49a74f6dcb773
Veggie2,dccd0b37e8fd45dcae8ae8cbbd41f0ca,8cdf35c5ee574f4cba7fffd84209db80,fb966898e3a9446c94ee075ed8e88dbe,f1989418654a426aa0fb5d08483c90a2,f97974c489e04be59d1f7efd89f3baca
Veggie3,60ef97e4657541ec9bd3fb0b97f8f546,0994d5cc8ccb435399bdd4be2b6e8f23,826c6ecdb245498d8a9dbed594d1eb1b,441747fa2d1c4665966e0540ffa8ae76,057ff6929fc74171bad6550de1691b31
Meat1,beb5218631b54ae09072ce3615d2d15e,6037d51961334e3fbf5990c15e29f6c9,7606f71ba2e044938617b1f518076697,421c1bd8bc6a44d48e3faa67119386a7,6e3ba7311453465a9c22b1b3d5a85ff8
Meat2,dccd0b37e8fd45dcae8ae8cbbd41f0ca,73596dd029c044c7aa926dcad9b31fdf,a385378a7188452fa554766476635c8b,d4a40b1cede745919dad1aea7a5ad837,db0faf7f464547089c8ccd3471c25fa4
Meat3,60ef97e4657541ec9bd3fb0b97f8f546,633b63c1f2a646938b08a657dd2b4eb0,5a74e0411d7244ada5fdd144bbe99893,4d76d083b54244c8b739e49ddf3ee5ed,32fb7815ac834912bef528cb9fdac662
Seafood1,beb5218631b54ae09072ce3615d2d15e,ea413caba2c3457a924dcbbc0ec1d085,e8faa07b3b844ef6ba0accef77514f65,23bf8a8f65474a739bfeeee94c83f0b4,eacdf15e63a24d92a9929445bfd7287b
Seafood2,dccd0b37e8fd45dcae8ae8cbbd41f0ca,d3dfd9226a954aaab9a42a0fe9363c28,86fa1825dfe846a59c72e7529032b716,0b2ea1fdb0f54ef5bd64740fdfb6c1b0,c7f05abbe8f94d3294ee80f82c030486
Seafood3,60ef97e4657541ec9bd3fb0b97f8f546,db68089a274e447eb271605d0a6c722f,01d71320201d4f06b350d5c008a51953,6c8f3aa921a2496d96273d1854b88d4f,168d88846c9c40bb94f875c611ca29ae
Chicken1,beb5218631b54ae09072ce3615d2d15e,2b2a60e617ab4e19b0737d08ad318281,29b889250f8a4959b923f7ea5fb60755,d319575afe5046e18603707e211919be,c0fb3308b9fc43d7b5d1482051853247
Chicken2,dccd0b37e8fd45dcae8ae8cbbd41f0ca,8cac29f455cc48c4bb4d87764d3b2c75,e486cad0af3a4ae7abc0adecad10cea1,06805e72276f4c7c8808446073a2b2e2,fc1e5d3767aa44c58f38635f722b963b
Chicken3,60ef97e4657541ec9bd3fb0b97f8f546,1ee0d0c378e34e82aba3a5517ab9597e,f1350b48534241e1a9f443f92695bcc6,c59c1cc4d4754e2388323cd51290ca0d,27001b1ec308493e83d20d47061283e3
Spicy1,beb5218631b54ae09072ce3615d2d15e,9b202fde13e44ee184e9e50b99454dd2,bed4435fd8714911a6c73fa610a3a5b3,549fc3b3d46d464b901a7f80ed23f109,5afe28207e944c9ba239117d51488fa5
Spicy2,dccd0b37e8fd45dcae8ae8cbbd41f0ca,0dd7ace22c244288bb1e3500c978272c,5ee86f571e2d4cc883e693f3f676efc3,66de13624da746aeb66117fbc1377a03,fd2ea23edeae4c808f1056a693204952
Spicy3,60ef97e4657541ec9bd3fb0b97f8f546,a1a44c1946a54359bfd4a87e40dcd438,3cdada6ece88441d99d86433a8226d79,edd0c616fc554d88bf1095df34244a24,adfcf520c4c147dd91f36642f7bb1e14
Mixed1,beb5218631b54ae09072ce3615d2d15e,0b6a26d214684585b74fa8fa72d8315c,c1cffa5db9f248a988d84567c6919b47,32f86cdf0ca64c68915b05d58783c428,2e51335a126241abbecd044d207e334f
Mixed2,dccd0b37e8fd45dcae8ae8cbbd41f0ca,e6cd8aaaf13041a0afa4313d84977ad4,bd6d2e44e2a349e9b73c9ab0d04e1258,a48e7198e6484a55a45323a89826a584,c0cbcfbb523348dfb62467169d47ae63
Mixed3,60ef97e4657541ec9bd3fb0b97f8f546,d67d771302d54fef9f9537afe110e4f1,51788a76535140fb8a2ca86ec3f43c95,c18aff0bd989475cab555f3225d345e6,149edbc645a34c88942ad1bdcba2614c
None1,beb5218631b54ae09072ce3615d2d15e,,,,
None2,dccd0b37e8fd45dcae8ae8cbbd41f0ca,,,,
None3,60ef97e4657541ec9bd3fb0b97f8f546,,,,
