PresetID,SetSeason,UnitCount,CharID_1,CharID_2,CharID_3,CharID_4,CharID_5,CharID_6,CharID_7,CharID_8,CharID_9,CharID_10,CharID_11,CharID_12,NeedSynergy,UseRuneType,Explain
EP012030001,1,3,C10001,C10002,C20002,,,,,,,,,,-,Battle/Synergy_S10001_Normal,3 마스코트
EP012030002,1,3,C10005,C20003,C20004,,,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"3 수호대, 1 전직교관"
EP012030003,1,3,C10003,C10006,C20004,,,,,,,,,,-,Battle/Synergy_S10003_Normal/Synergy_S10024_Normal,"2 선봉장, 1 전직교관"
EP012030004,1,3,C10007,C20005,C20006,,,,,,,,,,-,Battle/Synergy_S10004_Normal,3 마법사
EP012030005,1,3,C10009,C10010,C20004,,,,,,,,,,-,Battle/Synergy_S10006_Normal/Synergy_S10024_Normal,"2 사냥꾼, 1 전직교관"
EP012030006,1,3,C10011,C20004,C20008,,,,,,,,,,-,Battle/Synergy_S10008_Normal/Synergy_S10024_Normal,"2 추격자, 1 전직교관"
EP012030007,1,3,C20001,C20009,C20010,,,,,,,,,,-,Battle/Synergy_S10009_Normal,3 싸움꾼
EP012030008,1,3,C10012,C20004,C20011,,,,,,,,,,-,Battle/Synergy_S10010_Normal/Synergy_S10024_Normal,"2 저격수, 1 전직교관"
EP012030009,1,3,C10013,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10011_Normal/Synergy_S10020_Normal,"3 방해꾼, 2 아케인리버"
EP012030010,1,3,C10008,C20003,C20005,,,,,,,,,,-,Battle/Synergy_S10005_Normal/Synergy_S10015_Normal,"3 시간의 신전, 1 책사"
EP012030011,1,3,C20002,C20004,C20009,,,,,,,,,,-,Battle/Synergy_S10024_Normal/Synergy_S10016_Normal,"2 엘나스, 1 책사"
EP012030012,1,3,C10001,C10005,C10013,,,,,,,,,,-,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
EP012030013,1,3,C10004,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10020_Normal,3 아케인리버
EP012030014,1,3,C10006,C10012,C20008,,,,,,,,,,-,Battle/Synergy_S10021_Normal,3 오르비스
EP012030015,1,3,C20001,C20004,C20007,,,,,,,,,,-,Battle/Synergy_S10025_Normal/Synergy_S10024_Normal,"2 기사단장, 1 전직교관"
EP012030016,1.1,3,C10014,C10015,C20014,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP012030017,1.1,3,C10014,C10015,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP012030018,1.1,3,C10014,C20014,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP012030019,1.1,3,C10015,C20014,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP012030020,1.2,3,C10016,C20016,C20017,,,,,,,,,,-,Battle/Synergy_S10032_Normal/Synergy_S10005_Normal,"3 마가티아, 1 책사"
EP012030021,1.3,3,C10017,C10018,C20018,,,,,,,,,,-,Battle/Synergy_S10033_Normal,3 미우미우
EP012030022,1.4,3,C10009,C10019,C20019,,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10022_Normal,"2 처형자, 2 시그너스"
EP012030023,1.4,3,C10019,C20004,C20019,,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10024_Normal,"2 처형자, 1 전직교관"
EP012030024,1.5,3,C20006,C20020,C20021,,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10019_Normal,"2 결투가, 2 루디브리엄"
EP012030025,1.5,3,C10009,C10020,C20021,,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10022_Normal,"2 결투가, 2 시그너스"
EP012030026,1.5,3,C10020,C20004,C20020,,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10024_Normal,"2 결투가, 1 전직교관"
EP012030027,1.5,3,C10020,C20004,C20021,,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10024_Normal,"2 결투가, 1 전직교관"
EP012030028,1.5,3,C20004,C20020,C20021,,,,,,,,,,-,Battle/Synergy_S10035_Normal/Synergy_S10024_Normal,"2 결투가, 1 전직교관"
EP012040001,1,4,C10004,C20012,C20002,C30001,,,,,,,,,-,Battle/Synergy_S10001_Normal/Synergy_S10020_Normal,"3 마스코트, 2 아케인리버"
EP012040002,1,4,C20004,C20006,C30002,C30003,,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10019_Normal/Synergy_S10024_Normal,"3 수호대, 2 루디브리엄, 1 전직교관"
EP012040003,1,4,C10003,C10006,C30004,C30005,,,,,,,,,-,Battle/Synergy_S10003_Normal,4 선봉장
EP012040004,1,4,C10009,C20006,C30006,C30007,,,,,,,,,-,Battle/Synergy_S10004_Normal/Synergy_S10022_Normal,"3 마법사, 2 시그너스"
EP012040005,1,4,C10006,C10009,C30005,C30008,,,,,,,,,-,Battle/Synergy_S10006_Normal/Synergy_S10022_Normal/Synergy_S10003_Normal,"2 사냥꾼, 2 시그너스, 2 선봉장"
EP012040006,1,4,C20001,C20007,C30009,C30010,,,,,,,,,-,Battle/Synergy_S10007_Normal/Synergy_S10024_Normal/Synergy_S10025_Normal,"3 그림자, 2 기사단장, 1 전직교관"
EP012040007,1,4,C10011,C20002,C20008,C30001,,,,,,,,,-,Battle/Synergy_S10008_Normal/Synergy_S10016_Normal,"2 추격자, 2 엘나스, 2 예티와 페페"
EP012040008,1,4,C20009,C20010,C30004,C30011,,,,,,,,,-,Battle/Synergy_S10009_Normal/Synergy_S10018_Normal,"3 싸움꾼, 2 슬리피우드"
EP012040009,1,4,C10003,C20011,C30005,C30013,,,,,,,,,-,Battle/Synergy_S10010_Normal/Synergy_S10003_Normal/Synergy_S10024_Normal,"2 저격수, 2 선봉장, 1 전직교관"
EP012040010,1,4,C10004,C20012,C20013,C30012,,,,,,,,,-,Battle/Synergy_S10011_Normal/Synergy_S10020_Normal,"3 방해꾼, 3 아케인리버"
EP012040011,1,4,C20003,C20004,C20005,C30002,,,,,,,,,-,Battle/Synergy_S10005_Normal/Synergy_S10002_Normal/Synergy_S10024_Normal,"3 시간의 신전, 3 수호대, 1 전직교관"
EP012040012,1,4,C20002,C20009,C30001,C30008,,,,,,,,,-,Battle/Synergy_S10016_Normal,"4 엘나스, 2 예티와 페페"
EP012040013,1,4,C10013,C20013,C30011,C30012,,,,,,,,,-,Battle/Synergy_S10017_Normal/Synergy_S10011_Normal,"3 빅토리아 아일랜드, 3 방해꾼"
EP012040014,1,4,C10009,C20010,C30004,C30005,,,,,,,,,-,Battle/Synergy_S10018_Normal/Synergy_S10003_Normal/Synergy_S10022_Normal,"2 슬리피우드, 2 선봉장, 2 시그너스"
EP012040015,1,4,C10008,C20006,C30003,C30013,,,,,,,,,-,Battle/Synergy_S10019_Normal/Synergy_S10024_Normal,"2 루디브리엄, 1 전직교관, 1 책사"
EP012040016,1,4,C10004,C20012,C20013,C30013,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10024_Normal,"3 아케인리버, 1 전직교관"
EP012040017,1,4,C10006,C10012,C20008,C30004,,,,,,,,,-,Battle/Synergy_S10021_Normal/Synergy_S10003_Normal,"3 오르비스, 2 선봉장"
EP012040018,1,4,C10008,C20004,C30005,C30006,,,,,,,,,-,Battle/Synergy_S10022_Normal/Synergy_S10024_Normal,"2 시그너스, 1 전직교관, 1 책사"
EP012040019,1,4,C10010,C20011,C30007,C30013,,,,,,,,,-,Battle/Synergy_S10023_Normal/Synergy_S10010_Normal/Synergy_S10024_Normal,"3 모험가, 2 저격수, 1 전직교관"
EP012040020,1,4,C10008,C20001,C20004,C20007,,,,,,,,,-,Battle/Synergy_S10025_Normal/Synergy_S10024_Normal,"2 기사단장, 1 전직교관, 1 책사"
EP012040021,1.1,4,C20014,C20015,C30005,C30014,,,,,,,,,-,Battle/Synergy_S10031_Normal/Synergy_S10003_Normal,"3 아랫마을, 2 선봉장"
EP012040022,1.1,4,C10015,C20014,C30008,C30014,,,,,,,,,-,Battle/Synergy_S10031_Normal/Synergy_S10006_Normal,"3 아랫마을, 2 사냥꾼"
EP012040023,1.1,4,C20014,C20015,C30010,C30014,,,,,,,,,-,Battle/Synergy_S10031_Normal/Synergy_S10024_Normal,"3 아랫마을, 1 전직교관"
EP012040024,1.1,4,C20014,C20015,C30013,C30014,,,,,,,,,-,Battle/Synergy_S10031_Normal/Synergy_S10024_Normal,"3 아랫마을, 1 전직교관"
EP012040025,1.1,4,C20004,C20014,C20015,C30014,,,,,,,,,-,Battle/Synergy_S10031_Normal/Synergy_S10024_Normal,"3 아랫마을, 1 전직교관"
